id	filename	md5	size	state
897b51e4-4451-4912-afc3-4866a618573d	897b51e4-4451-4912-afc3-4866a618573d/d49e00ed-2b3a-43c9-beb1-34be64f6d386.rna_seq.augmented_star_gene_counts.tsv	3ca7986ed771e38429ec07f77b86ebc8	4233689	validated
832a6186-382d-497b-9ea2-5bf51590c886	832a6186-382d-497b-9ea2-5bf51590c886/bfcd3d46-85ed-4d92-b050-a090b343d838.rna_seq.augmented_star_gene_counts.tsv	78c061d8796c1b212208c40ce28c3068	4220946	validated
892eed19-fe56-4ae7-8785-894ae16026ea	892eed19-fe56-4ae7-8785-894ae16026ea/07fdaba3-2f28-40b9-9d40-fac131c97e15.rna_seq.augmented_star_gene_counts.tsv	06d26e96a9be3f29b783242a788a6ace	4251490	validated
ac36ba69-2531-49d0-844a-ee1b20981a1a	ac36ba69-2531-49d0-844a-ee1b20981a1a/debe7d92-9e53-495b-b132-9e30a4f253dd.rna_seq.augmented_star_gene_counts.tsv	040e934ab8c2790e1efe1c959fc8f57f	4236168	validated
74e2bec2-e4f4-426a-bd87-21c5a16dcfdf	74e2bec2-e4f4-426a-bd87-21c5a16dcfdf/34d955d4-2ec4-4c13-8224-9721d4ec0168.rna_seq.augmented_star_gene_counts.tsv	f04ac5ffc617fbad039ba71efc3f376a	4225044	validated
bc3174f1-53fa-4e76-92af-4093924daa83	bc3174f1-53fa-4e76-92af-4093924daa83/e56aa61e-f074-4668-a05b-f290a9e1e7e9.rna_seq.augmented_star_gene_counts.tsv	aa9b096eeab9e6afafbd35b385b83b4b	4241746	validated
a06c91ef-ed4b-42d4-9edf-1df4722fba4f	a06c91ef-ed4b-42d4-9edf-1df4722fba4f/2e7efc6b-4bcc-4769-9cf4-9a41069c6778.rna_seq.augmented_star_gene_counts.tsv	c50001df85e3906ee32a5e67047a923a	4228348	validated
ee3bb002-0561-4bf4-85bf-d4425036579c	ee3bb002-0561-4bf4-85bf-d4425036579c/2df3ce06-cf8f-477b-83e5-c5fdb8473d86.rna_seq.augmented_star_gene_counts.tsv	b75ebb7ea2a999acaeb07fe1b30ea64e	4230762	validated
616b2f3b-b80f-4935-b9ce-9e7fa0739f6d	616b2f3b-b80f-4935-b9ce-9e7fa0739f6d/a020086f-9e3f-455f-9447-15909d2bc710.rna_seq.augmented_star_gene_counts.tsv	5535f1646ba4f495cd380fc2dca86858	4234938	validated
1f715b37-49a7-4b68-8787-10c28dc71039	1f715b37-49a7-4b68-8787-10c28dc71039/fb07c4dc-76f8-4772-a9e0-f29afa67707e.rna_seq.augmented_star_gene_counts.tsv	7e289328ad8de47b227b2b444df20e40	4224075	validated
4f0f7051-4e3d-4749-b50a-c85f7dabe7c0	4f0f7051-4e3d-4749-b50a-c85f7dabe7c0/653e93c4-f047-4a9d-b300-b09fc2ec86c4.rna_seq.augmented_star_gene_counts.tsv	ec4087ff876340d9767bf15c257e43b5	4213661	validated
