"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045143","homologous chromosome segregation","15/1077","51/18842",0.294117647058824,5.14555682997433,7.29911549154997,9.40137257420202e-08,2.63238432077657e-05,2.63238432077657e-05,"C14orf39/SYCP1/SYCE2/MAJIN/SHOC1/RNF212/TEX15/ZCWPW1/SYCP3/KASH5/STAG3/SGO1/SYCP2/MEIOB/MEIOC",15
"GO:0042100","B cell proliferation","18/1077","75/18842",0.24,4.19877437325905,6.83429991326568,1.57977382331457e-07,4.22230458231349e-05,4.22230458231349e-05,"IL12A/IKZF3/BCL2/MZB1/MS4A1/TNFRSF13C/CD79A/PRLR/IL27RA/CDKN2A/CD22/CR2/BTLA/CD19/CD40LG/FCRL3/IL21/TNFRSF13B",18
"GO:0030183","B cell differentiation","21/1077","114/18842",0.184210526315789,3.22274348824708,5.86102120237581,1.73042757916318e-06,0.000442387572412153,0.000442387572412153,"IKZF3/PAX5/MS4A1/INPP5D/CD79A/AICDA/IGHM/SPIB/AQP8/JAK3/CD27/POU2AF1/CD79B/CR2/FLT3LG/CD19/PIK3R3/VCAM1/FCRL3/IL21/KIT",21
"GO:0045132","meiotic chromosome segregation","16/1077","71/18842",0.225352112676056,3.94251114860005,6.11618772784009,1.89278190537788e-06,0.000463731566817581,0.000463731566817581,"C14orf39/SYCP1/SYCE2/MAJIN/SHOC1/M1AP/RNF212/TEX15/ZCWPW1/SYCP3/KASH5/STAG3/SGO1/SYCP2/MEIOB/MEIOC",16
"GO:0046651","lymphocyte proliferation","32/1077","227/18842",0.140969162995595,2.46624045419034,5.47222349672088,2.13900528553913e-06,0.000503094043158802,0.000503094043158802,"IL12A/IKZF3/BCL2/MZB1/MS4A1/CRTAM/TNFRSF13C/CD79A/CD6/SLAMF1/TMIGD2/PRLR/PLA2G2D/IL27RA/CDKN2A/CD22/VTCN1/CCL19/CR2/FLT3LG/FOXJ1/BTLA/ICOSLG/CD19/VCAM1/CD40LG/GNRH1/FCRL3/IL21/TNFRSF13B/HELLS/CD3E",32
"GO:0070661","leukocyte proliferation","35/1077","261/18842",0.134099616858238,2.34605847803427,5.39171416144874,2.34211919900499e-06,0.000529679265005744,0.000529679265005743,"IL12A/IKZF3/BCL2/MZB1/MS4A1/CRTAM/TNFRSF13C/CD79A/CD6/SLAMF1/TMIGD2/PRLR/PLA2G2D/IL27RA/CDKN2A/CD22/VTCN1/CCL19/CR2/FLT3LG/FOXJ1/BTLA/ICOSLG/IL34/CD19/IL2RG/VCAM1/CD40LG/GNRH1/FCRL3/IL21/KIT/TNFRSF13B/HELLS/CD3E",35
"GO:0032943","mononuclear cell proliferation","32/1077","230/18842",0.139130434782609,2.43407210044003,5.38785132871066,2.84798266168454e-06,0.0006202273352113,0.0006202273352113,"IL12A/IKZF3/BCL2/MZB1/MS4A1/CRTAM/TNFRSF13C/CD79A/CD6/SLAMF1/TMIGD2/PRLR/PLA2G2D/IL27RA/CDKN2A/CD22/VTCN1/CCL19/CR2/FLT3LG/FOXJ1/BTLA/ICOSLG/CD19/VCAM1/CD40LG/GNRH1/FCRL3/IL21/TNFRSF13B/HELLS/CD3E",32
"GO:0030217","T cell differentiation","35/1077","265/18842",0.132075471698113,2.31064627459225,5.29051395566726,3.32154987141706e-06,0.000697525472997582,0.000697525472997582,"IKZF3/LY9/SLAMF6/CD3D/THEMIS/CRTAM/VNN1/ZAP70/ITK/CD8A/CCR6/EOMES/JAK3/AIRE/CDKN2A/CD27/MYB/CCL19/FOXJ1/TESPA1/SMARCA2/IRF4/ICOSLG/BTNL3/TBX21/CD2/ZNF683/PIK3R3/PCK1/IL2RG/USP44/IL21/CD3G/KIT/CD3E",35
"GO:0007130","synaptonemal complex assembly","8/1077","19/18842",0.421052631578947,7.36627083027904,6.83588440322243,4.76370512424608e-06,0.000933686204352232,0.000933686204352232,"C14orf39/SYCP1/SYCE2/SHOC1/TEX15/STAG3/SYCP2/MEIOC",8
"GO:0070193","synaptonemal complex organization","8/1077","19/18842",0.421052631578947,7.36627083027904,6.83588440322243,4.76370512424608e-06,0.000933686204352232,0.000933686204352232,"C14orf39/SYCP1/SYCE2/SHOC1/TEX15/STAG3/SYCP2/MEIOC",8
