"Gene","log2FC","pvalue","padj","baseMean"
"UNC13D",-0.300679490764974,0.114494663036294,0.197249407381759,2227.77910750999
"RPL32P1",0.567690148986993,0.114541415447632,0.197318579446785,2.62156727579702
"PSME1",-0.189655179670745,0.114565080993068,0.197347974473854,11555.0930363258
"LZTS3",0.349417537791372,0.114599834590767,0.197396465113933,676.584775762429
"CTRB2",-0.759382077517822,0.114627293165592,0.197432385324453,2.6722482347734
"MRPS6",-0.191246713630372,0.114689633062451,0.197528377016755,1285.51718508358
"UTRN",0.270449411060654,0.11471600390525,0.19756241221039,4229.23439692614
"IGLV3-9",0.806025470789921,0.114736481317033,0.197586294476826,514.436357914747
"NEDD9",-0.303792345603103,0.114793649752718,0.197673355516345,2381.49955921705
"AL139351.2",0.655651361010005,0.114814896029362,0.197698552540881,7.81876008039052
"ALDH3A1",-0.671056517125496,0.114842705325923,0.197735046806203,12601.0600132779
"NKIRAS1",0.136602739997668,0.114850434058098,0.19773696433963,374.825500097913
"AP000354.1",-0.340509473221544,0.114861485534159,0.197744602061112,5.80580274952092
"SMC6",0.169381648094992,0.114899328160257,0.197798359673256,2759.18037562204
"RNF212B",-0.425159179870067,0.114940091938864,0.197857139547165,9.35658690685711
"IGHV1OR16-4",0.925713645221447,0.114987794967125,0.197919009294133,1.06471053469226
"AL451085.2",0.401126271625128,0.114989275873518,0.197919009294133,3.29766034121936
"KRTAP5-AS1",0.510257368929482,0.115050491587362,0.198012971817678,6.98842928361945
"PGLYRP1",0.572394722566256,0.115125328526376,0.19812162832102,4.68573753834274
"VGF",-0.465989202439026,0.115126879564302,0.19812162832102,24.8239627417507
"LMOD1",0.400064300913433,0.115154060203418,0.198156995429197,275.348950147349
"BAHCC1",-0.242940997641958,0.115263280319305,0.198333523791428,1287.96792084536
"AL590483.3",1.24406708091438,0.115313748019259,0.198408942369867,3.22899977593487
"EPHB2",-0.373628494053659,0.115346448033576,0.198453782929646,2084.3229031447
"AL591848.1",-0.839439354649727,0.1154727032948,0.198659571043923,1.14153181164324
"PDCD6IP",-0.160958312751299,0.115487347215829,0.198673330051539,8705.30516745986
"SLC39A6",-0.226414268284365,0.11552571484608,0.198727897115671,7848.66976359267
"USPL1",0.133936628549337,0.115538679413877,0.198738761942663,754.552513538747
"AP001053.1",0.398659680632312,0.115585863967331,0.198808484130931,4.73359801141718
"AP001610.3",0.963324078943063,0.115676952616334,0.198953709298472,0.836777995920585
"ESPN",0.32973079801627,0.11570086563354,0.198983388499959,1336.46293951533
"EIF5AP2",0.341084839681398,0.115718521056403,0.19900230303866,6.4565423761456
"CORO7",-0.179085069948759,0.115737638651895,0.199023729769455,435.338000027387
"UQCC3",-0.198271803272502,0.115749952772126,0.199033455376461,310.12587022572
"STPG4",-0.713524341719829,0.115769294903657,0.199055263920628,4.72692241382173
"UNC13A",0.417898404187678,0.115789033485563,0.199077751578882,40.9079527722504
"COL25A1",0.5927437808566,0.115819758910127,0.199096223666773,23.605070279788
"AC068631.1",0.496801329636158,0.115815697219867,0.199096223666773,9.98619696570733
"AC018523.1",0.507358668000471,0.115813642255865,0.199096223666773,2.11389546230774
"AC018529.2",0.331683534878244,0.115847358203967,0.199132215723576,12.8946685640686
"IGKV1OR2-3",0.924922849081083,0.115874433115944,0.199167302323144,9.35973730909602
"AC092953.1",0.533993178389834,0.115938726081659,0.199266352347801,1.53171379786708
"AC090844.2",0.649139932116586,0.115965570092422,0.199301030368694,2.37258063151964
"ZDHHC19",-0.503331199452748,0.116001899499756,0.199352005280367,8.24900040197181
"ARHGEF10L",0.24516651274622,0.116159495600425,0.199611362028624,2076.7780644221
"AC006116.5",-0.521749611142425,0.116208977872587,0.199684914150803,3.69142160326269
"SLC10A1",0.489044065875368,0.116246613770604,0.199738103054026,2.95954867424745
"CDCA4",-0.195583792467985,0.116278103293604,0.199780725580665,2710.34389592576
"AC105285.1",-0.269854703586355,0.116351399123704,0.199895167688129,39.9466990629055
"SAYSD1",-0.138048936342299,0.116366613944657,0.199901325035576,747.983245270711
"ASB13",-0.184723298612428,0.116368357986888,0.199901325035576,1296.06286724789
"ZNF286B",0.26262670329031,0.116426059282747,0.199988953228357,50.1870767744641
"IRX4",-0.49324750980992,0.116444004360496,0.200008284683328,1166.53971600087
"AL590666.1",0.385452306586561,0.116482939150683,0.200063664507712,3.86312097583594
"MAPK9",0.134977128864918,0.116521584518719,0.200118540903966,1927.97765268762
