"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"NAIPP4","ENSG00000251634.2","Upregulated",5.28505480216604,1.23420457665615,4.54135739085723e-08,7.17117037123636e-07
"AC021205.3","ENSG00000273007.2","Upregulated",5.40835365737642,1.39849240481709,4.6884981428432e-08,7.39960857897936e-07
"INHBB","ENSG00000163083.6","Downregulated",768.102103821188,-1.42898031178068,4.70041585095704e-08,7.41059233211011e-07
"MAP2","ENSG00000078018.20","Downregulated",1248.49745568106,-1.70945361062601,4.72030595135166e-08,7.4380277015184e-07
"AC107308.1","ENSG00000277945.1","Downregulated",2.5604554540276,-2.77310718532592,4.76391768914234e-08,7.49884294701647e-07
"AC005696.1","ENSG00000262050.1","Upregulated",9.90070303646661,1.11656043858511,4.77061883484759e-08,7.50543885322443e-07
"MATN3","ENSG00000132031.13","Downregulated",176.579261582026,-1.55693378320972,4.83876596247074e-08,7.59665925158483e-07
"TTPA","ENSG00000137561.5","Upregulated",4.6984665024715,2.77246528285905,4.86547131572009e-08,7.63457577792677e-07
"AL391056.1","ENSG00000227619.3","Upregulated",38.9373829169766,1.90300637688767,4.93088252398197e-08,7.72910017865071e-07
"AL021026.1","ENSG00000225243.5","Upregulated",1.17299377262915,3.101651781817,4.97495764139808e-08,7.79410030485699e-07
"AC002059.3","ENSG00000285697.1","Downregulated",14.0791889154258,-1.16100323460771,5.00931771079891e-08,7.84382006344688e-07
"AL080276.2","ENSG00000227627.3","Upregulated",4.00478373150506,1.14466592247331,5.01221403495916e-08,7.84424617450258e-07
"PDE6B","ENSG00000133256.13","Upregulated",105.446341216598,1.63359617768486,5.15478650304834e-08,8.03791748300058e-07
"LRRC56","ENSG00000161328.11","Upregulated",201.821930986992,1.11185666717817,5.22516968779168e-08,8.13780461549481e-07
"AC007879.3","ENSG00000234902.6","Downregulated",8.13842927027932,-1.29663586113022,5.22701219782886e-08,8.13780461549481e-07
"LINC00518","ENSG00000183674.12","Downregulated",16.2153728494212,-2.30255659940609,5.25656817899922e-08,8.17530364238525e-07
"RASEF","ENSG00000165105.10","Upregulated",763.596366961448,1.48328449064968,5.29780504361825e-08,8.23515280103156e-07
"CGB8","ENSG00000213030.5","Downregulated",13.2377328993083,-2.91956538578676,5.3084400496916e-08,8.24739552834622e-07
"GDPD2","ENSG00000130055.14","Downregulated",755.563832149338,-2.2207807795336,5.35796491868518e-08,8.31569508563538e-07
"CDKN2A-DT","ENSG00000224854.3","Upregulated",8.35340576743007,2.32571282565143,5.37701206641767e-08,8.3409260347357e-07
"GSDME","ENSG00000105928.16","Downregulated",2543.71325800969,-1.11545000095812,5.40597204270326e-08,8.37715481080797e-07
"IVL","ENSG00000163207.7","Downregulated",18546.4123328933,-1.85310584492243,5.40464227437361e-08,8.37715481080797e-07
"AC090994.1","ENSG00000287826.1","Downregulated",91.0885764825642,-2.00304405460467,5.46854007045815e-08,8.46743580806524e-07
"GLT8D2","ENSG00000120820.12","Downregulated",680.899092456706,-1.25761943381536,5.49479064808275e-08,8.50102805263101e-07
"TCEAL7","ENSG00000182916.8","Downregulated",65.5084932245992,-1.44842421623655,5.53017101608599e-08,8.54304248128385e-07
"NOD2","ENSG00000167207.14","Downregulated",1154.01269376851,-1.17367187416616,5.54177419617051e-08,8.55654515867401e-07
"ALOXE3P1","ENSG00000275011.1","Downregulated",162.679399731659,-2.7271844667341,5.67625210807246e-08,8.75062032050036e-07
"PDLIM2","ENSG00000120913.23","Downregulated",1253.09840884555,-1.01709557620152,5.77414202642187e-08,8.88320398629966e-07
"NFE2L3","ENSG00000050344.9","Upregulated",1053.59373775082,1.13407049264399,5.78415252384811e-08,8.89402712154669e-07
"LINC02481","ENSG00000246526.2","Upregulated",14.803207768596,1.16824540928965,5.79287204886882e-08,8.90285507890935e-07
"SYCE1","ENSG00000171772.17","Upregulated",1.0534101930117,3.54669750787063,5.85729554853895e-08,8.99723939038675e-07
"LINC01213","ENSG00000244541.6","Downregulated",11.2563054293577,-1.96620975222903,5.91820500387833e-08,9.08220188114819e-07
"LINC02057","ENSG00000249279.6","Upregulated",29.2450385259794,1.65054049536358,5.92074800055453e-08,9.08220188114819e-07
"AL391560.2","ENSG00000287887.1","Upregulated",60.4165646855798,1.94433810013918,6.16184538997897e-08,9.4166606542562e-07
"LINC02608","ENSG00000226251.6","Downregulated",16.0315205989963,-2.126831475107,6.31928239746362e-08,9.65232444685654e-07
"CU634019.5","ENSG00000280018.4","Upregulated",3.19743054261854,1.52118968824925,6.33662954753015e-08,9.66893978737984e-07
"GTSF1","ENSG00000170627.11","Downregulated",250.767842846484,-2.53354797793895,6.37202665763837e-08,9.71799085970031e-07
"MMP2","ENSG00000087245.13","Downregulated",23899.8479507816,-1.34553615812656,6.40575274676702e-08,9.76444472750432e-07
"HSH2D","ENSG00000196684.12","Upregulated",355.510839981835,1.33272214438029,6.45878879503589e-08,9.83525800617487e-07
