"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"Z98884.1","ENSG00000236266.1","Higher in HPV-positive",3.43,1.477,1.4e-08,2.55e-07
"LUM","ENSG00000139329.5","Higher in HPV-negative",25148.56,-1.529,1.41e-08,2.56e-07
"RPSAP69","ENSG00000233487.6","Higher in HPV-positive",11.49,1.79,1.41e-08,2.58e-07
"PAQR5","ENSG00000137819.14","Higher in HPV-negative",996.43,-1.637,1.42e-08,2.58e-07
"GFI1B","ENSG00000165702.14","Higher in HPV-positive",6.49,1.349,1.43e-08,2.59e-07
"PCDHGB4","ENSG00000253953.3","Higher in HPV-negative",50.21,-2.098,1.43e-08,2.59e-07
"AL035653.1","ENSG00000288548.1","Higher in HPV-positive",8.12,1.369,1.43e-08,2.6e-07
"BASP1","ENSG00000176788.9","Higher in HPV-negative",5160.47,-1.291,1.45e-08,2.62e-07
"AC092535.4","ENSG00000251652.1","Higher in HPV-positive",1.41,2.549,1.45e-08,2.63e-07
"AC098484.4","ENSG00000285728.2","Higher in HPV-positive",29.45,1.042,1.46e-08,2.64e-07
"ACER1","ENSG00000167769.5","Higher in HPV-negative",103.88,-2.625,1.46e-08,2.64e-07
"COL23A1","ENSG00000050767.17","Higher in HPV-positive",254.03,1.508,1.48e-08,2.67e-07
"CCDC168","ENSG00000175820.4","Higher in HPV-positive",5.14,1.243,1.5e-08,2.7e-07
"RPL18AP7","ENSG00000232439.1","Higher in HPV-positive",4.44,1.089,1.5e-08,2.7e-07
"CR1L","ENSG00000197721.17","Higher in HPV-positive",6.17,2.138,1.51e-08,2.73e-07
"WNT1","ENSG00000125084.12","Higher in HPV-positive",6.05,1.836,1.52e-08,2.74e-07
"AC025419.1","ENSG00000250748.6","Higher in HPV-negative",9.93,-1.886,1.53e-08,2.76e-07
"IRX6","ENSG00000159387.8","Higher in HPV-positive",150.66,2.509,1.55e-08,2.78e-07
"PNLDC1","ENSG00000146453.13","Higher in HPV-positive",261.39,3.059,1.55e-08,2.79e-07
"KRT14","ENSG00000186847.6","Higher in HPV-negative",810010.37,-1.808,1.57e-08,2.81e-07
"FLRT3","ENSG00000125848.10","Higher in HPV-negative",1896.69,-2.145,1.58e-08,2.84e-07
"PRIMA1","ENSG00000175785.13","Higher in HPV-positive",456.83,1.757,1.59e-08,2.85e-07
"NADK2-AS1","ENSG00000245711.2","Higher in HPV-positive",4.62,1.456,1.59e-08,2.85e-07
"EPS8L3","ENSG00000198758.11","Higher in HPV-positive",5.85,3.197,1.59e-08,2.85e-07
"CCL26","ENSG00000006606.9","Higher in HPV-negative",140.44,-2.073,1.6e-08,2.86e-07
"ATOH8","ENSG00000168874.13","Higher in HPV-positive",173.75,1.586,1.62e-08,2.89e-07
"TAL2","ENSG00000186051.7","Higher in HPV-positive",4.52,1.889,1.62e-08,2.89e-07
"AC010203.1","ENSG00000257489.6","Higher in HPV-positive",8.08,1.294,1.63e-08,2.9e-07
"MFSD4A","ENSG00000174514.13","Higher in HPV-positive",360.89,2.086,1.64e-08,2.92e-07
"AP002383.3","ENSG00000256779.2","Higher in HPV-positive",1.15,2.908,1.66e-08,2.94e-07
"NMUR1","ENSG00000171596.7","Higher in HPV-positive",11.07,1.66,1.67e-08,2.96e-07
"SULF2","ENSG00000196562.14","Higher in HPV-negative",17672.51,-1.137,1.67e-08,2.96e-07
"CLIC6","ENSG00000159212.13","Higher in HPV-positive",508.97,1.83,1.73e-08,3.05e-07
"COL5A2","ENSG00000204262.14","Higher in HPV-negative",27807.88,-1.475,1.75e-08,3.09e-07
"LIFR","ENSG00000113594.10","Higher in HPV-positive",940.46,1.526,1.77e-08,3.12e-07
"LRRC75A","ENSG00000181350.12","Higher in HPV-positive",54.18,1.065,1.79e-08,3.14e-07
"ARL4D","ENSG00000175906.5","Higher in HPV-negative",3114.25,-1.141,1.79e-08,3.15e-07
"COL6A4P2","ENSG00000228252.9","Higher in HPV-positive",5.06,2.023,1.84e-08,3.22e-07
"SLC25A5P5","ENSG00000226421.1","Higher in HPV-negative",36.97,-1.489,1.85e-08,3.23e-07
"ENPP4","ENSG00000001561.7","Higher in HPV-positive",278.69,1.533,1.9e-08,3.32e-07
"LINC00842","ENSG00000285294.1","Higher in HPV-negative",13.11,-1.777,1.92e-08,3.34e-07
"CYP26B1","ENSG00000003137.8","Higher in HPV-negative",2003,-1.477,1.94e-08,3.37e-07
"AC025062.1","ENSG00000244593.1","Higher in HPV-positive",2.8,1.617,1.95e-08,3.38e-07
"WNT5A","ENSG00000114251.15","Higher in HPV-negative",5260.22,-1.269,1.98e-08,3.44e-07
"MT1E","ENSG00000169715.15","Higher in HPV-negative",3185.51,-1.658,1.98e-08,3.44e-07
"AC107952.2","ENSG00000272343.1","Higher in HPV-positive",6.15,1.37,1.99e-08,3.45e-07
"REPS2","ENSG00000169891.18","Higher in HPV-positive",389.9,1.027,2e-08,3.46e-07
"SPTLC3","ENSG00000172296.13","Higher in HPV-negative",965.58,-1.687,2e-08,3.46e-07
"RPS10P28","ENSG00000243167.1","Higher in HPV-positive",2.28,1.407,2.02e-08,3.5e-07
"TNS1-AS1","ENSG00000223923.2","Higher in HPV-positive",9.91,2.199,2.05e-08,3.54e-07
"FAM25G","ENSG00000189090.7","Higher in HPV-negative",2.54,-3.243,2.05e-08,3.55e-07
"POU6F2","ENSG00000106536.21","Higher in HPV-negative",124.39,-3.176,2.06e-08,3.56e-07
"AP003559.1","ENSG00000256443.1","Higher in HPV-negative",19.64,-1.542,2.06e-08,3.56e-07
"TREM2","ENSG00000095970.17","Higher in HPV-negative",803.42,-1.354,2.07e-08,3.56e-07
"LINC01726","ENSG00000280350.1","Higher in HPV-positive",4.73,3.41,2.07e-08,3.56e-07
"PTPRD","ENSG00000153707.17","Higher in HPV-negative",755.87,-2.024,2.08e-08,3.58e-07
"AC023906.2","ENSG00000259178.1","Higher in HPV-negative",34.04,-1.712,2.08e-08,3.58e-07
"PAK3","ENSG00000077264.15","Higher in HPV-positive",71.5,1.994,2.08e-08,3.58e-07
"OR2L2","ENSG00000203663.4","Higher in HPV-negative",4.86,-3.564,2.11e-08,3.63e-07
"AC107884.1","ENSG00000251364.7","Higher in HPV-positive",57.67,1.282,2.13e-08,3.66e-07
"LINC01237","ENSG00000233806.7","Higher in HPV-positive",7.81,1.374,2.14e-08,3.67e-07
"HTR1D","ENSG00000179546.4","Higher in HPV-negative",53.53,-1.796,2.15e-08,3.69e-07
"WNK4","ENSG00000126562.17","Higher in HPV-positive",54.33,1.952,2.17e-08,3.71e-07
"HOXA-AS3","ENSG00000254369.6","Higher in HPV-positive",13.56,1.619,2.18e-08,3.73e-07
"KATNAL2","ENSG00000167216.17","Higher in HPV-positive",81.44,1.505,2.2e-08,3.76e-07
"AC078850.1","ENSG00000248187.1","Higher in HPV-negative",8.78,-2.085,2.22e-08,3.79e-07
"MEIG1","ENSG00000197889.10","Higher in HPV-positive",9.07,1.398,2.28e-08,3.88e-07
"L3MBTL1","ENSG00000185513.17","Higher in HPV-positive",64.73,1.226,2.29e-08,3.9e-07
"GAST","ENSG00000184502.4","Higher in HPV-negative",136.38,-2.301,2.33e-08,3.96e-07
"PI3","ENSG00000124102.5","Higher in HPV-negative",88032.73,-2.292,2.34e-08,3.97e-07
"PLEKHG4","ENSG00000196155.13","Higher in HPV-positive",1285.24,1.291,2.35e-08,3.98e-07
"FAM83E","ENSG00000105523.3","Higher in HPV-positive",649.77,1.694,2.35e-08,3.98e-07
"EEF1A1P33","ENSG00000258846.1","Higher in HPV-positive",5.6,1.624,2.35e-08,3.99e-07
